Ligand Short Name,Base File Name,KD1,KD2,Alpha,SC
Gen_8_Mutant_7_728088,Gen_8_Mutant_7_728088__3,8.144937005674182e-06,6.902790951075892e-07,11.799483807929436,-10.802599469470694
Gen_8_Cross_705003,Gen_8_Cross_705003__4,4.949110069634312e-05,3.97469100725155e-05,1.2451559279966673,-5.498114493674437
Gen_8_Cross_883814,Gen_8_Cross_883814__2,2.6559159212940762e-05,4.629196545585792e-08,573.7315093753465,-10.51780361532878
Gen_8_Mutant_11_965774,Gen_8_Mutant_11_965774__5,2.070393526432597e-06,1.4193549404956241e-08,145.86862435619076,-12.9986597571966
Gen_8_Cross_994700,Gen_8_Cross_994700__2,1.130771755369391e-05,1.0770362963297668e-07,104.98919667078438,-11.282561076527033
Gen_8_Cross_76543,Gen_8_Cross_76543__2,1.1683157501431505e-06,1.012514208191944e-08,115.38759068175673,-13.542581363966772
Gen_8_Mutant_11_818048,Gen_8_Mutant_11_818048__1,1.280757324142307e-05,5.830150654334497e-07,21.967825534493045,-10.774984548805016
Gen_8_Cross_231859,Gen_8_Cross_231859__3,8.16972750935798e-05,2.0226633117017023e-05,4.039094130048093,-7.544596659716415
Gen_8_Mutant_16_157959,Gen_8_Mutant_16_157959__3,1.1863443293786681e+39,6.596874219596592e-05,1.7983431090053658e+43,89.97169521351874
Gen_8_Cross_793131,Gen_8_Cross_793131__4,0.00011280242018753687,1.1456700303328867e-06,98.45978091506935,-8.998480316490246
Gen_8_Mutant_7_728088,Gen_8_Mutant_7_728088__4,9.70029802873519e-06,8.172777298444324e-07,11.869035059332434,-10.646367197164352
Gen_8_Cross_994700,Gen_8_Cross_994700__4,4.2469445792204566e-05,2.966880144570127e-07,143.14513469622477,-9.996888233750786
Gen_8_Cross_451258,Gen_8_Cross_451258__5,1.3386455687239477e+23,6.596874219596592e-05,2.029211902733243e+27,53.251115472044795
Gen_8_Cross_371834,Gen_8_Cross_371834__1,2.0320789776691815e-05,4.1590092830141227e-07,48.859688435138345,-10.58718067834014
Gen_8_Cross_654338,Gen_8_Cross_654338__2,0.00029515300586728505,1.7875786982849592e-07,1651.1329327791896,-8.123096961061075
Gen_8_Cross_373476,Gen_8_Cross_373476__5,5.8076416452445565e-06,1.0770362963297668e-07,53.92243200192367,-11.836820284803085
Gen_8_Cross_881062,Gen_8_Cross_881062__4,1.3355384449212288e-05,2.505849929223415e-07,53.2968247358342,-11.016882871910427
Gen_8_Mutant_35_706911,Gen_8_Mutant_35_706911__4,0.0005252235196506602,9.676417733548232e-07,542.7871492460533,-7.5377994237167805
Gen_8_Cross_169095,Gen_8_Cross_169095__4,0.2283525159721392,3.7365789172835235e-06,61112.72397215967,-1.4768405555159545
Gen_8_Cross_131060,Gen_8_Cross_131060__4,533.7875099347486,0.0003016078895678205,1769806.1900821712,6.279994289890016
Gen_8_Cross_928393,Gen_8_Cross_928393__2,0.0009408410169608375,2.505849929223415e-07,3754.5784605401823,-6.966880814433332
Gen_8_Mutant_18_629617,Gen_8_Mutant_18_629617__3,1.6512262783371543e+36,0.00025474035751324605,6.481997177268205e+39,83.39458155865474
Gen_8_Mutant_21_351398,Gen_8_Mutant_21_351398__5,2.54564461779729e-06,5.830150654334497e-07,4.366344488722087,-10.480772616092612
Gen_8_Cross_820388,Gen_8_Cross_820388__4,1.4311455818069357e-05,4.1590092830141227e-07,34.410733047697214,-10.839448277507746
Gen_8_Cross_474438,Gen_8_Cross_474438__3,0.00012556977682915544,1.3564522063286917e-06,92.57220876879735,-8.886651988469433
Gen_8_Mutant_14_354964,Gen_8_Mutant_14_354964__1,0.005264752531550895,1.2751911298823975e-07,41285.98770943794,-5.246594057764012
Gen_8_Mutant_10_803559,Gen_8_Mutant_10_803559__2,0.00011506514338113098,1.9014914803386492e-06,60.51309962253329,-8.922563660650216
Gen_8_Cross_737875,Gen_8_Cross_737875__5,6.110596487652418e-05,2.966880144570127e-07,205.96034183705748,-9.656018171434589
Gen_8_Cross_593339,Gen_8_Cross_593339__3,5.483058856722837e+22,7.810577525052863e-05,7.02004280622735e+26,52.358535176634696
Gen_8_Mutant_13_856177,Gen_8_Mutant_13_856177__2,0.005436701700433132,5.571771015598962e-05,97.57582795869241,-5.161683504333083
Gen_8_Cross_168556,Gen_8_Cross_168556__4,1.1337547854680201e-05,1.509802801699513e-07,75.09290512587515,-11.237739374730722
Gen_8_Mutant_8_460912,Gen_8_Mutant_8_460912__1,3.178996245968694e-05,2.1164602416720824e-07,150.2034474059937,-10.287867081379291
Gen_8_Cross_62845,Gen_8_Cross_62845__4,0.00012550829275420893,8.693584466298958e-06,14.43688656166476,-8.401211876883368
Gen_8_Cross_732161,Gen_8_Cross_732161__2,3.852623426474107e-05,3.1559434689496957e-06,12.207517227031534,-9.394596436864767
Gen_8_Cross_51872,Gen_8_Cross_51872__2,6.947690000155971e-05,1.9014914803386492e-06,36.53810743826531,-9.319454994606744
Gen_8_Cross_236774,Gen_8_Cross_236774__4,0.00015333107744028637,5.480883414541699e-08,2797.5613754796063,-8.779772703174679
Gen_8_Cross_390670,Gen_8_Cross_390670__2,9.669875034075645e-06,5.830150654334497e-07,16.58597797449103,-10.889921213202275
Gen_8_Cross_55903,Gen_8_Cross_55903__4,6.379288819180261e-06,4.1590092830141227e-07,15.338481799581496,-11.230289585308668
Gen_8_Cross_231859,Gen_8_Cross_231859__1,0.00020486861998121803,1.7083570853870422e-05,11.992142727865549,-7.839427964813635
Gen_8_Cross_124503,Gen_8_Cross_124503__1,692804654.8900363,2.835394447994561e-05,24434154315991.15,20.356258634141223
Gen_8_Cross_897709,Gen_8_Cross_897709__5,1.7798940042233763e-05,1.3564522063286917e-06,13.121686086093309,-10.161933557049892
Gen_8_Cross_815917,Gen_8_Cross_815917__3,9.188896378935791e-06,9.096731904955463e-08,101.01316027495679,-11.483828261551952
Gen_8_Mutant_11_965774,Gen_8_Mutant_11_965774__1,1.0499699964953505e-06,7.2228939537321e-09,145.36694062257783,-13.672692559028699
Gen_8_Cross_644806,Gen_8_Cross_644806__4,5.01033338617417e-05,1.2751911298823975e-07,392.9084251579008,-9.876286650413181
